p_personkey,p_firstname,p_lastname,p_phonenum,p_email,p_address,p_gender,p_dob
1,Dennis,Hoffman,(838)831-1420,hoffman.dennis@cub.edu,"65269 Laura Forges, Lake Debra, PR 31902",Female,2005-12-21
2,Robyn,Jones,703.272.9914,jones.robyn@cub.edu,"04795 Brown Lock Suite 107, West Bonnieton, TN 48363",Other,2010-06-27
3,Kristen,Vega,+1-681-527-5267,vega.kristen@cub.edu,"524 Ballard Drive Suite 394, Rushside, SC 23066",Other,2008-03-25
4,Michael,Patterson,527.478.2077,patterson.michael@cub.edu,"02851 Karen Union Suite 927, East Benjamin, VA 72571",Female,2007-10-29
5,Mark,Scott,8526621678,scott.mark@cub.edu,"3302 Adams Tunnel, South Lisamouth, WY 51135",Other,2009-08-21
6,Kelly,Smith,894.713.7615,smith.kelly@cub.edu,"81904 Michael Rest Suite 940, Heatherchester, NM 17891",Male,2009-10-31
7,Margaret,Gordon,911-230-5669,gordon.margaret@cub.edu,"92031 Cunningham Route, Sheltonmouth, DE 33285",Female,2007-04-17
8,Kathy,Harrell,628-485-7665,harrell.kathy@cub.edu,"807 Mindy Corner, Amandastad, FL 33709",Male,2008-12-16
9,Emily,Strong,4016854662,strong.emily@cub.edu,"47526 Day Valley Suite 846, East Jeffrey, MO 42726",Other,2008-09-03
10,Laura,Hart,5686004158,hart.laura@cub.edu,"187 Bradley Points, Toddfort, SC 66861",Male,2006-02-23
11,Ashley,Kerr,606.248.7392,kerr.ashley@cub.edu,"USNV Pope, FPO AA 41820",Female,2007-04-19
12,Brittany,Martinez,+1-498-377-3310,martinez.brittany@cub.edu,"741 Mary Fields, Heathbury, MT 08735",Female,2009-12-30
13,Abigail,Warren,781-278-4019,warren.abigail@cub.edu,"USNV Anderson, FPO AA 77596",Other,2006-01-07
14,Brandy,Olson,+1-956-675-3140,olson.brandy@cub.edu,"31774 Shirley Crossing Apt. 182, Brownmouth, IN 34663",Other,2009-12-06
15,Sheila,Perry,+1-419-441-4789,perry.sheila@cub.edu,"27258 Beth Skyway Suite 527, Sarahfort, IA 25188",Male,2009-11-28
16,Daniel,Tucker,(368)436-7475,tucker.daniel@cub.edu,"9614 Hudson Highway, Danahaven, SC 86088",Other,2008-12-05
17,Kim,Christian,247.559.2832,christian.kim@cub.edu,"91371 Rodriguez Village Suite 535, Port Melissa, ID 51307",Female,2010-03-07
18,Shannon,Aguilar,+1-536-611-8086,aguilar.shannon@cub.edu,"204 Zachary Unions, Lake Johnland, MH 60540",Female,2006-04-22
19,Cassandra,Wright,(578)404-4668,wright.cassandra@cub.edu,"41559 Lin Flat Suite 973, New Johnburgh, NE 52411",Male,2008-06-27
20,Daniel,Perez,(426)999-5044,perez.daniel@cub.edu,"960 Christina Orchard Suite 231, Josephstad, OR 64373",Female,2007-11-01
21,Jacob,Wilkerson,(404)930-2032,wilkerson.jacob@cub.edu,"3004 Odom Place, Sandymouth, FL 26617",Female,2009-05-11
22,Kevin,Henderson,+1-547-639-2947,henderson.kevin@cub.edu,"161 Ward Circles Apt. 828, West James, MI 55679",Other,2008-12-28
23,Anthony,Hill,(482)452-2659,hill.anthony@cub.edu,"162 Jason Heights Apt. 958, Mooreview, MN 59300",Other,2006-02-03
24,Jennifer,Robertson,001-566-837-9425,robertson.jennifer@cub.edu,"USS Barnett, FPO AE 65960",Female,2008-08-20
25,Stacey,Collins,001-265-506-6836,collins.stacey@cub.edu,"136 Amy Greens, Andreborough, NY 91716",Female,2008-01-07
26,Barbara,Ryan,001-982-818-3756,ryan.barbara@cub.edu,"710 Moore Parkway Suite 945, Port Thomas, TX 10051",Male,2006-06-02
27,Arthur,Hansen,384-202-4986,hansen.arthur@cub.edu,"USS Smith, FPO AA 22874",Male,2010-02-16
28,Shawn,Evans,(357)655-2299,evans.shawn@cub.edu,"78249 Morgan Pike, Lindsayshire, KS 92653",Male,2008-06-16
29,Ethan,Rodriguez,+1-310-665-7540,rodriguez.ethan@cub.edu,"983 Michael Islands Apt. 146, Danielshire, CO 20715",Male,2007-12-25
30,Robert,Morrison,246-970-7522,morrison.robert@cub.edu,"542 Bauer Court Suite 837, Thomasburgh, SD 21577",Male,2009-07-19
31,Rachel,Paul,001-242-775-3284,paul.rachel@cub.edu,"50875 Tiffany Bypass, East Danny, VA 10884",Male,2005-12-29
32,Kimberly,Jones,+1-599-558-4400,jones.kimberly@cub.edu,"69679 Nelson Brooks Suite 499, North John, MT 53439",Female,2007-07-26
33,Angela,Whitaker,(704)589-6443,whitaker.angela@cub.edu,"90977 Daniel Highway Apt. 170, Port Amyfurt, OR 78146",Female,2010-09-22
34,Mark,Soto,951-740-7369,soto.mark@cub.edu,"752 Julia Extensions Suite 478, Kellyville, NE 88380",Female,2010-02-26
35,Samantha,Garner,235-376-8630,garner.samantha@cub.edu,"01203 Tracy Rue, Port Linda, IA 32383",Female,2006-10-16
36,Kevin,Lee,(369)325-9134,lee.kevin@cub.edu,"3241 Cabrera Harbor Apt. 055, Port Kenneth, WI 58330",Other,2009-11-29
37,Jenna,Kaufman,516-614-2522,kaufman.jenna@cub.edu,"99667 Martha Cove, New Tony, TX 00938",Female,2007-05-09
38,Chase,Walker,+1-685-524-3126,walker.chase@cub.edu,"439 Palmer Knoll Suite 581, Wilsonview, AZ 42215",Male,2007-03-09
39,Sarah,Smith,001-605-286-4088,smith.sarah@cub.edu,"48964 Patel Wells Suite 535, Gardnerport, NY 22144",Female,2006-01-12
40,Evelyn,Davis,001-560-389-0950,davis.evelyn@cub.edu,"18017 Daniel Neck Suite 786, South Michelle, MS 18433",Female,2010-04-17
41,James,Perkins,001-769-826-9467,perkins.james@cub.edu,"542 Bruce Mountain, Teresaview, ID 09007",Female,2007-08-16
42,Edward,Miller,7939953069,miller.edward@cub.edu,"6549 Zavala Loaf, Arthurport, ME 05719",Male,2008-08-21
43,Michael,Morales,348.688.1446,morales.michael@cub.edu,"200 Delgado Fields, Richardsonton, WA 17421",Male,2007-03-22
44,Douglas,Burnett,001-627-361-4221,burnett.douglas@cub.edu,"730 Simon Orchard Apt. 674, Brianton, FM 78248",Other,2009-07-27
45,Carla,Schaefer,396.362.0140,schaefer.carla@cub.edu,"8591 Murphy Shores Apt. 336, Nicholastown, SD 39051",Other,2006-12-30
46,Sean,Arias,001-930-319-4418,arias.sean@cub.edu,"2971 Patel Burg, Bestland, AK 35750",Other,2006-04-21
47,Ronald,Conley,754-587-1920,conley.ronald@cub.edu,"70489 John Rue Apt. 455, Annbury, NE 47146",Other,2009-03-03
48,Brian,Villanueva,+1-376-660-9923,villanueva.brian@cub.edu,"24248 Ashley Shore, Warnerside, MS 68845",Other,2010-01-26
49,Jessica,Clark,(930)746-8198,clark.jessica@cub.edu,"7417 Casey Fork Suite 795, Johnland, NJ 65800",Female,2010-04-04
50,Melissa,Mcdonald,+1-346-576-0127,mcdonald.melissa@cub.edu,"488 Samuel Fields, Carterton, WI 37915",Male,2008-06-12
51,Amy,Kirby,3119480260,kirby.amy@cub.edu,"594 Javier Vista, North Caitlin, GU 97098",Female,2010-02-18
52,Adrian,Johnson,001-281-427-2705,johnson.adrian@cub.edu,"793 Natasha Harbors, Cynthiaport, CA 83355",Male,2006-11-16
53,Gregory,Jones,647-752-5283,jones.gregory@cub.edu,"0209 Christopher Mountain Apt. 728, Mitchellberg, HI 14829",Female,2010-09-13
54,Kayla,Baker,750.449.2634,baker.kayla@cub.edu,"99271 Hall Vista Suite 937, South Amy, NV 48856",Male,2009-10-23
55,Donna,Vega,935-564-6454,vega.donna@cub.edu,"606 Francisco Expressway Apt. 573, East Mary, NC 33237",Male,2005-12-16
56,Laura,Sullivan,317-532-8235,sullivan.laura@cub.edu,"91569 Gill Fort Apt. 140, Christinefort, OR 64921",Male,2009-01-17
57,Martha,Mendez,7237109666,mendez.martha@cub.edu,"Unit 2224 Box 3543, DPO AA 73629",Female,2008-06-05
58,Patty,James,666-282-9220,james.patty@cub.edu,"64350 Ryan Wall Suite 817, Lake Samantha, IN 95119",Male,2009-12-22
59,Meghan,Warren,+1-402-362-1614,warren.meghan@cub.edu,"57892 Amy Squares, Johnmouth, LA 22973",Other,2007-09-16
60,Aaron,Mathis,712.794.5772,mathis.aaron@cub.edu,"35124 Victoria Land, Jasminefurt, NJ 64780",Female,2010-04-30
61,Austin,Thomas,222.350.9292,thomas.austin@cub.edu,"6638 Allen River, Fernandezville, CO 20911",Other,2010-06-30
